Name,Power,Engine,Power_to_Weight_Ratio
Hyundai Creta 1.6 CRDi SX Option,126.2,1582.0,0.0797724399494311
Honda Jazz V,88.7,1199.0,0.07397831526271893
Maruti Ertiga VDI,88.76,1248.0,0.07112179487179487
Audi A4 New 2.0 TDI Multitronic,140.8,1968.0,0.07154471544715447
Nissan Micra Diesel XV,63.1,1461.0,0.0431895961670089
Toyota Innova Crysta 2.8 GX AT 8S,171.5,2755.0,0.062250453720508164
Volkswagen Vento Diesel Comfortline,103.6,1598.0,0.06483103879849812
Tata Indica Vista Quadrajet LS,74.0,1248.0,0.05929487179487179
Maruti Ciaz Zeta,103.25,1462.0,0.07062243502051983
Honda City 1.5 V AT Sunroof,116.3,1497.0,0.07768871075484302
Maruti Swift VDI BSIV,74.0,1248.0,0.05929487179487179
Land Rover Range Rover 2.2L Pure,187.7,2179.0,0.08614043139054611
Land Rover Freelander 2 TD4 SE,115.0,2179.0,0.05277650298301973
Mitsubishi Pajero Sport 4X4,175.56,2477.0,0.07087605974969721
Honda Amaze S i-Dtech,98.6,1498.0,0.06582109479305741
Maruti Swift DDiS VDI,74.0,1248.0,0.05929487179487179
Renault Duster 85PS Diesel RxL Plus,83.8,1461.0,0.05735797399041752
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,167.62,2143.0,0.07821745216985534
BMW 3 Series 320d,190.0,1995.0,0.09523809523809523
Maruti S Cross DDiS 200 Alpha,88.5,1248.0,0.07091346153846154
Audi A6 2011-2015 35 TFSI Technology,177.01,1984.0,0.08921875
Hyundai i20 1.2 Magna,80.0,1197.0,0.06683375104427736
Volkswagen Vento Petrol Highline AT,103.6,1598.0,0.06483103879849812
Honda City Corporate Edition,116.3,1497.0,0.07768871075484302
Nissan Micra Diesel XV,63.1,1461.0,0.0431895961670089
Maruti Alto K10 2010-2014 VXI,67.1,998.0,0.06723446893787574
Honda WRV i-VTEC VX,88.7,1199.0,0.07397831526271893
Toyota Innova 2.5 V Diesel 7-seater,102.0,2494.0,0.0408981555733761
Renault Duster 110PS Diesel RxZ Pack,108.45,1461.0,0.0742299794661191
Toyota Corolla Altis G,138.1,1798.0,0.0768075639599555
Mahindra Ssangyong Rexton RX7,184.0,2696.0,0.06824925816023739
Audi A6 2.7 TDI,179.5,2698.0,0.06653076352853966
Volkswagen Vento 1.6 Highline,103.5,1598.0,0.06476846057571965
Maruti Wagon R LXI BSIII,64.0,1061.0,0.060320452403393024
Maruti Vitara Brezza ZDi Plus,88.5,1248.0,0.07091346153846154
Mahindra KUV 100 mFALCON G80 K6 5str AW,82.0,1198.0,0.06844741235392321
Mercedes-Benz M-Class ML 350 CDI,254.8,2987.0,0.08530297957817208
Volkswagen Polo Diesel Trendline 1.2L,73.9,1199.0,0.06163469557964971
Maruti Alto LXi,46.3,796.0,0.05816582914572864
Tata Nano LX SE,37.5,624.0,0.06009615384615385
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,77.0,1198.0,0.0642737896494157
Hyundai i20 Magna Optional 1.2,82.9,1197.0,0.06925647451963242
Hyundai Elantra 2.0 SX Option AT,149.92,1999.0,0.07499749874937468
